concept_slug,unit_id,rel_path,role,confidence,quote
limits,CALC-TOP00,Syllabus_Calculus.pdf,introduced,0.6,Limits
definition-of-the-derivative,CALC-LEC05,Syllabus_Calculus.pdf,introduced,0.6,Definition of the derivative. Motivation. Differentiation rules. Properties. Practice session 13 Practice session 14 Practice session 15
motivation,CALC-LEC05,Syllabus_Calculus.pdf,introduced,0.6,Definition of the derivative. Motivation. Differentiation rules. Properties. Practice session 13 Practice session 14 Practice session 15
differentiation-rules,CALC-LEC05,Syllabus_Calculus.pdf,introduced,0.6,Definition of the derivative. Motivation. Differentiation rules. Properties. Practice session 13 Practice session 14 Practice session 15
differential-of-a-function,CALC-LEC07,Syllabus_Calculus.pdf,introduced,0.6,Differential of a function. Higher-order derivatives. Practice session 18 Practice session 19
higher-order-derivatives,CALC-LEC07,Syllabus_Calculus.pdf,introduced,0.6,Differential of a function. Higher-order derivatives. Practice session 18 Practice session 19
antiderivative,CALC-LEC10,Syllabus_Calculus.pdf,introduced,0.6,Antiderivative and indefinite integral. Substitution. Practice session 26 Practice session 27 Practice session 28 Week 11 Lecture 11 Integrating by parts Practice session 29 Practice session 30
indefinite-integral,CALC-LEC10,Syllabus_Calculus.pdf,introduced,0.6,Antiderivative and indefinite integral. Substitution. Practice session 26 Practice session 27 Practice session 28 Week 11 Lecture 11 Integrating by parts Practice session 29 Practice session 30
substitution,CALC-LEC10,Syllabus_Calculus.pdf,introduced,0.6,Antiderivative and indefinite integral. Substitution. Practice session 26 Practice session 27 Practice session 28 Week 11 Lecture 11 Integrating by parts Practice session 29 Practice session 30
definite-integral,CALC-LEC12,Syllabus_Calculus.pdf,introduced,0.6,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton-Leibniz formula. Practice session 31 Practice session 32 Practice session 33
properties-of-the-definite-integral,CALC-LEC12,Syllabus_Calculus.pdf,introduced,0.6,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton-Leibniz formula. Practice session 31 Practice session 32 Practice session 33
mean-value-theorem-for-integrals,CALC-LEC12,Syllabus_Calculus.pdf,introduced,0.6,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton-Leibniz formula. Practice session 31 Practice session 32 Practice session 33
newton-leibniz-formula,CALC-LEC12,Syllabus_Calculus.pdf,introduced,0.6,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton-Leibniz formula. Practice session 31 Practice session 32 Practice session 33
series,CALC-LEC12,Syllabus_Calculus.pdf,introduced,0.6,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton-Leibniz formula. Practice session 31 Practice session 32 Practice session 33
convergence-of-series,CALC-LEC12,Syllabus_Calculus.pdf,introduced,0.6,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton-Leibniz formula. Practice session 31 Practice session 32 Practice session 33
tests-for-convergence-of-numerical-series,CALC-LEC12,Syllabus_Calculus.pdf,introduced,0.6,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton-Leibniz formula. Practice session 31 Practice session 32 Practice session 33
taylor-series,CALC-LEC12,Syllabus_Calculus.pdf,introduced,0.6,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton-Leibniz formula. Practice session 31 Practice session 32 Practice session 33
maclaurin-series,CALC-LEC12,Syllabus_Calculus.pdf,introduced,0.6,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton-Leibniz formula. Practice session 31 Practice session 32 Practice session 33
domains-of-convergence,CALC-LEC12,Syllabus_Calculus.pdf,introduced,0.6,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton-Leibniz formula. Practice session 31 Practice session 32 Practice session 33
integrals,CALC-LEC12,Syllabus_Calculus.pdf,introduced,0.6,Definite integral. Properties of the definite integral. Mean value theorem for integrals. Newton-Leibniz formula. Practice session 31 Practice session 32 Practice session 33
linear-equations,LINALG-TOP00,Syllabus_Linear_Algebra.pdf,introduced,0.6,: Linear equations. Systems of linear equations (SLE). Matrices of SLE. Jordan-Gauss method.
systems-of-linear-equations-sle,LINALG-TOP00,Syllabus_Linear_Algebra.pdf,introduced,0.6,: Linear equations. Systems of linear equations (SLE). Matrices of SLE. Jordan-Gauss method.
matrices-of-sle,LINALG-TOP00,Syllabus_Linear_Algebra.pdf,introduced,0.6,: Linear equations. Systems of linear equations (SLE). Matrices of SLE. Jordan-Gauss method.
